trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.08385747890369795, 'e': 0.17999999999999927}",20,12,-9.374187078030516,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.08259961672014247, 'e': 0.17499999999999927}",25,18,13.463095371821575,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.08136062246934034, 'e': 0.16999999999999926}",35,11,16.937434547136426,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.08014021313230023, 'e': 0.16499999999999926}",20,3,-47.414637123327,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
168,False,"{'a': 0.07893810993531572, 'e': 0.15999999999999925}",30,16,15.209761646760246,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.07775403828628598, 'e': 0.15499999999999925}",30,16,-29.966721260740517,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
170,False,"{'a': 0.07658772771199168, 'e': 0.14999999999999925}",25,3,-18.183039446004962,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.0754389117963118, 'e': 0.14499999999999924}",25,0,6.217169009750241,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
172,False,"{'a': 0.07430732811936713, 'e': 0.13999999999999924}",20,0,23.12946084942897,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.07319271819757663, 'e': 0.13499999999999923}",25,3,23.053610853108324,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.07209482742461297, 'e': 0.12999999999999923}",25,14,8.72144481897927,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.07101340501324377, 'e': 0.12499999999999922}",20,0,6.115434833599032,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.06994820393804511, 'e': 0.11999999999999922}",20,12,13.229587747395058,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.06889898087897443, 'e': 0.11499999999999921}",30,16,26.928568634662014,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.06786549616578981, 'e': 0.10999999999999921}",30,17,20.80337745422741,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.06684751372330296, 'e': 0.1049999999999992}",25,0,43.08484292434116,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.06584480101745341, 'e': 0.0999999999999992}",20,13,12.210137465619528,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.06485712900219161, 'e': 0.0949999999999992}",30,15,-29.23954793836918,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.06388427206715873, 'e': 0.08999999999999919}",20,16,6.0172653846987485,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.06292600798615135, 'e': 0.08499999999999919}",25,8,-28.5518303002686,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
184,False,"{'a': 0.06198211786635908, 'e': 0.07999999999999918}",20,4,7.743960925233274,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
185,False,"{'a': 0.06105238609836369, 'e': 0.07499999999999918}",25,11,24.734607311477525,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.060136600306888235, 'e': 0.06999999999999917}",20,13,13.905770576810653,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.05923455130228491, 'e': 0.06499999999999917}",20,8,23.546679945090418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.058346033032750634, 'e': 0.05999999999999917}",25,7,30.36019036384731,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.05747084253725938, 'e': 0.054999999999999175}",30,20,21.771293041282714,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.05660877989920048, 'e': 0.04999999999999918}",20,8,21.05490297076504,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,24.891908051749162,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,17.373262099660963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,4,26.026762494976772,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,7,23.175951641123,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,8,39.920686190449565,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,20,17.958231203803273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,1,35.98571783657554,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,16,26.030556941168037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,9,40.89008361955071,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,28.70573230052007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
